Year,  GLODAP Expocode,GO-SHIP Expocode
1993, 06MT19921227, 06MT22_5
2003, 49NZ20031106 , 49NZ20031106 
2011, 33RO20110926, 33RO20110926
2017, 06M220170104, 06M220170104
