Year,GLODAP Expocode,GO-SHIP Expocode
1991,09AR19910925,09AR9101_1	
1994,09AR19940101,09AR9407_1
1995,09AR19941213,09AR9404_1
1995,09AR19950717,09AR9501_1
2001,09AR20011029,09AR20011029
2008,09AR20080322,09AR20080322
2011,09AR20110104,09AR20110104
2018,096U20180111,096U20180111
